Scan	BCID	sigma_vis	sigma_vis_err	lumi_sp	lumi_sp_err	Sigma_X	Sigma_Y	mu_vis_max_xscan	mu_vis_max_err_xscan	xscan_offset_[#mum]	mu_vis_max_yscan	mu_vis_max_err_yscan	yscan_offset_[#mum]
4	721	203.725024824	0.693403803061	0.1236993769	0.000384381922955	118.837945326	121.752042372	2.24346305945e-22	7.29662281219e-25	0.199999994948	2.21484341226e-22	7.34114732141e-25	0.199999994948
4	1821	204.459691954	0.729003241772	0.116284076627	0.000367559274518	120.499261632	127.730398514	2.13025296438e-22	8.10402979766e-25	0.199999994948	2.10200347188e-22	8.12878042385e-25	0.199999994948
4	all	204.280535959	0.399138178635	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5	1	209.86457023	0.712453782086	0.110754303276	0.00031673470466	126.049696953	128.202497657	2.03813440992e-22	8.39038686444e-25	0.199999994948	2.05618309883e-22	8.53304304815e-25	0.199999994948
5	721	208.933796209	0.751599712682	0.118972868557	0.000384004584164	121.854035785	123.455672922	2.19317652774e-22	7.55507007221e-25	0.199999994948	2.19290191779e-22	7.70769166902e-25	0.199999994948
5	1821	208.902058901	0.716971206391	0.109745720646	0.000318199510672	125.03436922	130.43132298	2.02106661512e-22	8.25226454902e-25	0.199999994948	2.03552738066e-22	8.33074359587e-25	0.199999994948
5	all	209.233475113	0.419859795448	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6	1	207.892824652	0.838300694432	0.111202109883	0.000399253602741	125.381375113	128.366838585	2.04780163649e-22	8.52780697384e-25	0.199999994948	2.04684293903e-22	8.66466670416e-25	0.199999994948
6	721	208.38700377	0.609634235176	0.11949425659	0.000294275065495	120.983985799	123.80095124	2.20586910262e-22	7.80535399658e-25	0.199999994948	2.22255825531e-22	7.97862149645e-25	0.199999994948
6	1821	207.529573335	0.706612739581	0.11009153995	0.000315914317748	124.670476519	130.401124185	2.01845290002e-22	8.33808306575e-25	0.199999994948	2.02912216636e-22	8.50132789441e-25	0.199999994948
6	all	207.936467252	0.418157800985	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
8	1	205.265201747	1.06154859927	0.107622070208	0.000499765044087	127.059240825	130.885429839	1.95932081797e-22	8.15894994909e-25	0.199999994948	1.94864503489e-22	8.15828456947e-25	0.199999994948
8	721	205.093086317	0.81338725978	0.112559115878	0.000375448392127	124.374965584	127.845443708	2.04060686681e-22	8.12713559486e-25	0.199999994948	2.05152547843e-22	8.22242264802e-25	0.199999994948
8	1821	204.202758797	0.933668773257	0.113192177734	0.00043184358601	122.098284996	129.50094041	2.05682619862e-22	9.7609240513e-25	0.199999994948	2.04452327713e-22	9.83937668994e-25	0.199999994948
8	all	204.853682287	0.543672863355	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
10	1	207.434145934	0.847404148526	0.107517564433	0.000395215263099	123.974039216	134.273012419	2.02474560674e-22	8.48030137128e-25	-0.0399999989895	1.91139168792e-22	8.2958083511e-25	-0.0399999989895
10	2361	206.694726399	0.573018016778	0.121619951874	0.00027660280995	118.157523401	124.54683475	2.28427684515e-22	8.80135827918e-25	-0.0399999989895	2.12340605938e-22	8.5302951678e-25	-0.0399999989895
